#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NC_009657.1          -         result               -          cm        1      295        1      293      +    no    1 0.42   0.0  267.3   1.9e-67 !   Scotophilus bat coronavirus 512, complete genome
MK211369.1           -         result               -          cm        1      295        3      295      +    no    1 0.40   0.3  263.9   1.5e-66 !   Coronavirus BtSk-AlphaCoV/GX2018A, complete genome
KP890336.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  247.2   4.5e-62 !   Porcine epidemic diarrhea virus strain CH/HNYF/14, complete genome
MH891585.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  246.7   6.2e-62 !   Porcine epidemic diarrhea virus isolate S14, complete genome
KU664503.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  246.1     9e-62 !   Porcine epidemic diarrhea virus isolate ZJU/G1/2013, complete genome
KM887144.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  246.1     9e-62 !   Porcine epidemic diarrhea virus isolate CHM2013, complete genome
MH891590.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.9     1e-61 !   Porcine epidemic diarrhea virus isolate S10, complete genome
MH891589.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.9     1e-61 !   Porcine epidemic diarrhea virus isolate S6, complete genome
MH891587.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.9     1e-61 !   Porcine epidemic diarrhea virus isolate S100, complete genome
MH891584.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.9     1e-61 !   Porcine epidemic diarrhea virus isolate S12, complete genome
MH052682.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.9     1e-61 !   Porcine epidemic diarrhea virus isolate KNU-1703, complete genome
MH243319.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  245.4   1.3e-61 !   Porcine epidemic diarrhea virus isolate KNU-1807, complete genome
MH726365.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  244.9   1.9e-61 !   Porcine epidemic diarrhea virus isolate GDS25, complete genome
MF577027.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  244.7   2.1e-61 !   Porcine epidemic diarrhea virus strain PEDV/Belgorod/dom/2008, complete genome
KR003452.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  244.1   3.1e-61 !   Porcine epidemic diarrhea virus isolate 15V010/BEL/2015, complete genome
KY929406.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  244.1   3.1e-61 !   Porcine epidemic diarrhea virus strain PT-P96, complete genome
KY929405.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  244.1   3.1e-61 !   Porcine epidemic diarrhea virus strain PT-P5, complete genome
LT897799.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  244.0   3.3e-61 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00901-V215_1978 genome assembly, complete genome: monopartite
MK140812.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.7   3.8e-61 !   Porcine epidemic diarrhea virus isolate CH/TP-3-1/2018, complete genome
KU297956.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.7   3.8e-61 !   Porcine epidemic diarrhea virus strain SLO/JH-11/2015, complete genome
MK606368.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate CH-HB1-2018, complete genome
MK032691.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1817, complete genome
MK392335.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate LW/L, complete genome
MH243318.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1806, complete genome
MH117940.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate SDSX16, complete genome
MH052689.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1710, complete genome
MH052685.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1706, complete genome
MH052684.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1705, complete genome
MH052681.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate KNU-1702, complete genome
MG334555.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/OK10240-8/2017, complete genome
MG334554.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/OK10240-6/2017, complete genome
KU558701.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ZJU/G2/2013, complete genome
KT591944.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/2014/IL/20697 P7, complete genome
KY111278.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain PEDV 1842/2016 ITA, complete genome
KM975741.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/MO/2014/03293, complete genome
KM975740.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/IL/2013/59573-5, complete genome
KM975739.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/IA/2013/20849, complete genome
KM975738.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/IA/2013/19321, complete genome
KX064280.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate SD2014, complete genome
KJ584361.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain OH15962, complete genome
KT860508.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/IL20697/2014 Passage 5, complete genome
KM975737.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/NC/2013/49469, complete genome
KM975735.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/NC/2013/35140, complete genome
KP641661.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain OH10123-14, complete genome
KM609211.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain PEDV-LS, complete genome
KM609210.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain PEDV-LY, complete genome
KJ184549.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain USA/KS/2013, complete genome
KJ778615.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate NPL-PEDv/2013, complete genome
KJ408801.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain OH1414, complete genome
KJ399978.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus strain OH851, complete genome
KF804028.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate USA/Iowa/18984/2013, complete genome
KF650375.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-22038-IA-passage9, complete genome
KF650374.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-22038-IA-passage3, complete genome
KF650373.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-22038-IA-homogenate, complete genome
KF650372.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-passage9, complete genome
KF650371.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-passage3, complete genome
KF650370.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-homogenate, complete genome
KF468752.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate MN, complete genome
KF468754.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate IA2, complete genome
KF468753.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.6   4.2e-61 !   Porcine epidemic diarrhea virus isolate IA1, complete genome
MH891586.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.5   4.3e-61 !   Porcine epidemic diarrhea virus isolate S97, complete genome
JN547228.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  243.5   4.4e-61 !   Porcine epidemic diarrhea virus strain CH/S, complete genome
MH243316.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  243.1   5.6e-61 !   Porcine epidemic diarrhea virus isolate KNU-1804, complete genome
KM975736.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  243.1   5.8e-61 !   Porcine epidemic diarrhea virus strain USA/IA/2013/49379, complete genome
KX580953.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.9   6.5e-61 !   Porcine epidemic diarrhea virus strain KB2013-4, complete genome
MK032689.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  242.4   8.7e-61 !   Porcine epidemic diarrhea virus isolate KNU-1815, complete genome
MH056658.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.4   8.7e-61 !   Porcine epidemic diarrhea virus strain JSX2014, complete genome
KU558702.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  242.4   8.7e-61 !   Porcine epidemic diarrhea virus isolate CO/P14/IC, complete genome
